id,short,site,city,country,lat,lon,failure_date,deaths,volume_m3,waste_type,runout_m,slope_height_m,slope_angle_deg,reported_trigger,rainfall_implicated,source,source_url
umraniye1993,Ümraniye,Ümraniye-Hekimbaşı open dump,Istanbul,Turkey,41.0214,29.1030,1993-04-28,39,,MSW,,25,,Methane explosion in the waste mass followed by slide into adjacent settlement,partial,"Kocasoy & Curi (1995), Waste Manage. Res. 13(4)",https://doi.org/10.1177/0734242X9501300406
kettleman1988,Kettleman Hills,Kettleman Hills unit B-19,Kettleman City CA,United States,35.9530,-120.0230,1988-03-19,0,490000,Hazardous waste,,27,,Shear failure along the geosynthetic liner interfaces during filling; arid site with no leachate head,no,"Mitchell, Seed & Seed (1990), J. Geotech. Engrg. 116(4)",https://doi.org/10.1061/(ASCE)0733-9410(1990)116:4(647)
rumpke1996,Rumpke,Rumpke Sanitary Landfill,Colerain Township OH,United States,39.2830,-84.6190,1996-03-09,0,1200000,MSW,,,,Deep-seated translational slide attributed to elevated leachate levels and elevated waste temperatures,yes,"Stark, Eid, Evans & Sherry (2000), J. Geotech. Geoenviron. Eng. 126(5)",https://doi.org/10.1061/(ASCE)1090-0241(2000)126:5(397)
donajuana1997,Doña Juana,Doña Juana sanitary landfill zone II,Bogotá,Colombia,4.5030,-74.1330,1997-09-27,0,1200000,MSW,,50,,High pore pressures from leachate recirculation and rapid filling; leachate collection capacity exceeded,partial,"Hendron, Fernandez, Prommer, Giroud & Orozco (1999), Sardinia '99",https://www.geoengineer.org/news/large-waste-landslide-struck-in-colombia
payatas2000,Payatas,Payatas open dumpsite,Quezon City,Philippines,14.7130,121.1030,2000-07-10,278,,MSW,,30,,Saturation of loosely placed waste after ~2 weeks of monsoon rain enhanced by two typhoons,yes,"Merry, Kavazanjian & Fritz (2005), J. Perform. Constr. Facil. 19(2)",https://doi.org/10.1061/(ASCE)0887-3828(2005)19:2(100)
leuwigajah2005,Leuwigajah,Leuwigajah dumpsite,Cimahi (Bandung),Indonesia,-6.9010,107.5140,2005-02-21,143,2700000,MSW,1000,70,,Heavy rainfall over several days plus an internal fire/gas pressure in a near-vertical waste face,yes,"Lavigne et al. (2014), Geoenvironmental Disasters 1:10",https://doi.org/10.1186/s40677-014-0010-5
xiaping2008,Xiaping,Xiaping landfill,Shenzhen,China,22.7010,114.1290,2008-06-07,0,,MSW,,40,15,Leachate level rose to ~2 m below the waste surface after heavy rain; waste body slipped 1–4 m,yes,"Zhan, Zhang, Chen, Zhang & Chen (2016), PMC4730517",https://pmc.ncbi.nlm.nih.gov/articles/PMC4730517/
hongao2015,Hongao,Hongao construction-spoil dump,Shenzhen,China,22.7080,113.9500,2015-12-20,77,2730000,Construction spoil,1100,100,,Saturated fine construction spoil dumped over a drained base; static liquefaction of the fill,partial,"Yin, Li, Xu & Wang (2016), Engineering 2(2)",https://doi.org/10.1016/J.ENG.2016.02.005
koshe2017,Koshe,Koshe (Repi) dumpsite,Addis Ababa,Ethiopia,8.9700,38.7010,2017-03-11,115,,MSW,,50,,Disputed: residents attributed it to regrading/compaction for an adjacent waste-to-energy plant,unclear,AGU Landslide Blog / UN-Habitat,https://blogs.agu.org/landslideblog/2017/03/17/koshe-1/
meethotamulla2017,Meethotamulla,Meethotamulla dumpsite,Colombo,Sri Lanka,6.9390,79.8890,2017-04-14,32,,MSW,,50,,Collapse of an oversteepened face during the first inter-monsoon rains; an internal fire was burning,yes,Jayakody et al. / national reporting,https://www.researchgate.net/publication/331764860
ghazipur2017,Ghazipur,Ghazipur landfill,Delhi,India,28.6200,77.3260,2017-09-01,2,,MSW,,65,,Flank collapse into a canal after heavy monsoon rain,yes,Contemporary reporting; NGT proceedings,https://en.wikipedia.org/wiki/Ghazipur_landfill
hulene2018,Hulene,Hulene dumpsite,Maputo,Mozambique,-25.9010,32.5860,2018-02-19,17,,MSW,,15,,Collapse of the waste face onto adjacent housing after prolonged heavy rain,yes,Contemporary reporting (AFP/Reuters),https://en.wikipedia.org/wiki/Hulene_waste_dump
